Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Cambodia,KHM,"Population ages 80 and above, female",SP.POP.80UP.FE,80941
Cambodia,KHM,"Population ages 80 and above, male",SP.POP.80UP.MA,41935
Cambodia,KHM,"Population, total",SP.POP.TOTL,16944826
Cambodia,KHM,"Population, male",SP.POP.TOTL.MA.IN,8384561
Cambodia,KHM,"Population, female",SP.POP.TOTL.FE.IN,8560264
Cameroon,CMR,"Population ages 80 and above, female",SP.POP.80UP.FE,60619
Cameroon,CMR,"Population ages 80 and above, male",SP.POP.80UP.MA,44836
Cameroon,CMR,"Population, total",SP.POP.TOTL,28647293
Cameroon,CMR,"Population, male",SP.POP.TOTL.MA.IN,14289697
Cameroon,CMR,"Population, female",SP.POP.TOTL.FE.IN,14357596
Canada,CAN,"Population ages 80 and above, female",SP.POP.80UP.FE,1093769
Canada,CAN,"Population ages 80 and above, male",SP.POP.80UP.MA,769958
Canada,CAN,"Population, total",SP.POP.TOTL,39244168
Canada,CAN,"Population, male",SP.POP.TOTL.MA.IN,19504921
Canada,CAN,"Population, female",SP.POP.TOTL.FE.IN,19739248
Caribbean small states,CSS,"Population ages 80 and above, female",SP.POP.80UP.FE,67990
Caribbean small states,CSS,"Population ages 80 and above, male",SP.POP.80UP.MA,42032
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,7528219
Caribbean small states,CSS,"Population, male",SP.POP.TOTL.MA.IN,3713929
Caribbean small states,CSS,"Population, female",SP.POP.TOTL.FE.IN,3814291
Cayman Islands,CYM,"Population ages 80 and above, female",SP.POP.80UP.FE,513
Cayman Islands,CYM,"Population ages 80 and above, male",SP.POP.80UP.MA,352
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,69310
Cayman Islands,CYM,"Population, male",SP.POP.TOTL.MA.IN,34943
Cayman Islands,CYM,"Population, female",SP.POP.TOTL.FE.IN,34367
Central African Republic,CAF,"Population ages 80 and above, female",SP.POP.80UP.FE,7282
Central African Republic,CAF,"Population ages 80 and above, male",SP.POP.80UP.MA,5631
Central African Republic,CAF,"Population, total",SP.POP.TOTL,5742315
Central African Republic,CAF,"Population, male",SP.POP.TOTL.MA.IN,2869330
Central African Republic,CAF,"Population, female",SP.POP.TOTL.FE.IN,2872985
Central Europe and the Baltics,CEB,"Population ages 80 and above, female",SP.POP.80UP.FE,2972607
Central Europe and the Baltics,CEB,"Population ages 80 and above, male",SP.POP.80UP.MA,1380638
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,98398413
Central Europe and the Baltics,CEB,"Population, male",SP.POP.TOTL.MA.IN,47708101
Central Europe and the Baltics,CEB,"Population, female",SP.POP.TOTL.FE.IN,50690310
Chad,TCD,"Population ages 80 and above, female",SP.POP.80UP.FE,21597
Chad,TCD,"Population ages 80 and above, male",SP.POP.80UP.MA,14892
Chad,TCD,"Population, total",SP.POP.TOTL,18278568
Chad,TCD,"Population, male",SP.POP.TOTL.MA.IN,9174497
Chad,TCD,"Population, female",SP.POP.TOTL.FE.IN,9104070
Channel Islands,CHI,"Population ages 80 and above, female",SP.POP.80UP.FE,4482
Channel Islands,CHI,"Population ages 80 and above, male",SP.POP.80UP.MA,2949
Channel Islands,CHI,"Population, total",SP.POP.TOTL,175346
Channel Islands,CHI,"Population, male",SP.POP.TOTL.MA.IN,86797
Channel Islands,CHI,"Population, female",SP.POP.TOTL.FE.IN,88549
Chile,CHL,"Population ages 80 and above, female",SP.POP.80UP.FE,370815
Chile,CHL,"Population ages 80 and above, male",SP.POP.80UP.MA,234810
Chile,CHL,"Population, total",SP.POP.TOTL,19629590
Chile,CHL,"Population, male",SP.POP.TOTL.MA.IN,9741974
Chile,CHL,"Population, female",SP.POP.TOTL.FE.IN,9887616
China,CHN,"Population ages 80 and above, female",SP.POP.80UP.FE,21313186
China,CHN,"Population ages 80 and above, male",SP.POP.80UP.MA,13568731
China,CHN,"Population, total",SP.POP.TOTL,1411878144
China,CHN,"Population, male",SP.POP.TOTL.MA.IN,720137493
China,CHN,"Population, female",SP.POP.TOTL.FE.IN,691740650
Colombia,COL,"Population ages 80 and above, female",SP.POP.80UP.FE,496736
Colombia,COL,"Population ages 80 and above, male",SP.POP.80UP.MA,309044
Colombia,COL,"Population, total",SP.POP.TOTL,52085168
Colombia,COL,"Population, male",SP.POP.TOTL.MA.IN,25668667
Colombia,COL,"Population, female",SP.POP.TOTL.FE.IN,26416500
Comoros,COM,"Population ages 80 and above, female",SP.POP.80UP.FE,2938
Comoros,COM,"Population ages 80 and above, male",SP.POP.80UP.MA,2133
Comoros,COM,"Population, total",SP.POP.TOTL,852075
Comoros,COM,"Population, male",SP.POP.TOTL.MA.IN,428132
Comoros,COM,"Population, female",SP.POP.TOTL.FE.IN,423943
"Congo, Dem. Rep.",COD,"Population ages 80 and above, female",SP.POP.80UP.FE,216275
"Congo, Dem. Rep.",COD,"Population ages 80 and above, male",SP.POP.80UP.MA,142916
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,102262808
"Congo, Dem. Rep.",COD,"Population, male",SP.POP.TOTL.MA.IN,50732478
"Congo, Dem. Rep.",COD,"Population, female",SP.POP.TOTL.FE.IN,51530330
"Congo, Rep.",COG,"Population ages 80 and above, female",SP.POP.80UP.FE,11465
"Congo, Rep.",COG,"Population ages 80 and above, male",SP.POP.80UP.MA,7719
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,6106869
"Congo, Rep.",COG,"Population, male",SP.POP.TOTL.MA.IN,3049941
"Congo, Rep.",COG,"Population, female",SP.POP.TOTL.FE.IN,3056928
Costa Rica,CRI,"Population ages 80 and above, female",SP.POP.80UP.FE,66272
Costa Rica,CRI,"Population ages 80 and above, male",SP.POP.80UP.MA,46680
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5212173
Costa Rica,CRI,"Population, male",SP.POP.TOTL.MA.IN,2605235
Costa Rica,CRI,"Population, female",SP.POP.TOTL.FE.IN,2606939
Cote d'Ivoire,CIV,"Population ages 80 and above, female",SP.POP.80UP.FE,51954
Cote d'Ivoire,CIV,"Population ages 80 and above, male",SP.POP.80UP.MA,43177
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,28873034
Cote d'Ivoire,CIV,"Population, male",SP.POP.TOTL.MA.IN,14569031
Cote d'Ivoire,CIV,"Population, female",SP.POP.TOTL.FE.IN,14304003
Croatia,HRV,"Population ages 80 and above, female",SP.POP.80UP.FE,150504
Croatia,HRV,"Population ages 80 and above, male",SP.POP.80UP.MA,75633
Croatia,HRV,"Population, total",SP.POP.TOTL,3834139
Croatia,HRV,"Population, male",SP.POP.TOTL.MA.IN,1868630
Croatia,HRV,"Population, female",SP.POP.TOTL.FE.IN,1965509
Cuba,CUB,"Population ages 80 and above, female",SP.POP.80UP.FE,257732
Cuba,CUB,"Population ages 80 and above, male",SP.POP.80UP.MA,181992
Cuba,CUB,"Population, total",SP.POP.TOTL,11194449
Cuba,CUB,"Population, male",SP.POP.TOTL.MA.IN,5551684
Cuba,CUB,"Population, female",SP.POP.TOTL.FE.IN,5642765
Curacao,CUW,"Population ages 80 and above, female",SP.POP.80UP.FE,2830
Curacao,CUW,"Population ages 80 and above, male",SP.POP.80UP.MA,1194
Curacao,CUW,"Population, total",SP.POP.TOTL,150768
Curacao,CUW,"Population, male",SP.POP.TOTL.MA.IN,72329
Curacao,CUW,"Population, female",SP.POP.TOTL.FE.IN,78439
Cyprus,CYP,"Population ages 80 and above, female",SP.POP.80UP.FE,26777
Cyprus,CYP,"Population ages 80 and above, male",SP.POP.80UP.MA,18588
Cyprus,CYP,"Population, total",SP.POP.TOTL,1260138
Cyprus,CYP,"Population, male",SP.POP.TOTL.MA.IN,631148
Cyprus,CYP,"Population, female",SP.POP.TOTL.FE.IN,628990
Czechia,CZE,"Population ages 80 and above, female",SP.POP.80UP.FE,314741
Czechia,CZE,"Population ages 80 and above, male",SP.POP.80UP.MA,162127
Czechia,CZE,"Population, total",SP.POP.TOTL,10680324
Czechia,CZE,"Population, male",SP.POP.TOTL.MA.IN,5266961
Czechia,CZE,"Population, female",SP.POP.TOTL.FE.IN,5413363
Denmark,DNK,"Population ages 80 and above, female",SP.POP.80UP.FE,185629
Denmark,DNK,"Population ages 80 and above, male",SP.POP.80UP.MA,129094
Denmark,DNK,"Population, total",SP.POP.TOTL,5928585
Denmark,DNK,"Population, male",SP.POP.TOTL.MA.IN,2949804
Denmark,DNK,"Population, female",SP.POP.TOTL.FE.IN,2978781
Djibouti,DJI,"Population ages 80 and above, female",SP.POP.80UP.FE,3851
Djibouti,DJI,"Population ages 80 and above, male",SP.POP.80UP.MA,2576
Djibouti,DJI,"Population, total",SP.POP.TOTL,1136455
Djibouti,DJI,"Population, male",SP.POP.TOTL.MA.IN,563824
Djibouti,DJI,"Population, female",SP.POP.TOTL.FE.IN,572630
Dominica,DMA,"Population ages 80 and above, female",SP.POP.80UP.FE,849
Dominica,DMA,"Population ages 80 and above, male",SP.POP.80UP.MA,463
Dominica,DMA,"Population, total",SP.POP.TOTL,73040
